# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 990 1 347 2082 1454347 5 16x16/actions/media-playback-start.png
DUPTYPE_WITHIN_SAME_TREE -990 1 347 2082 1454331 5 16x16/status/media-playback-playing.png
DUPTYPE_WITHIN_SAME_TREE -990 2 347 2082 1457628 5 16x16/actions/symbolic/media-playback-start-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 1008 1 355 2082 1454020 5 16x16/actions/media-skip-backward.png
DUPTYPE_WITHIN_SAME_TREE -1008 2 355 2082 1457594 5 16x16/actions/symbolic/media-skip-backward-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 1009 1 357 2082 1454069 5 16x16/actions/media-skip-forward.png
DUPTYPE_WITHIN_SAME_TREE -1009 2 357 2082 1457573 5 16x16/actions/symbolic/media-skip-forward-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 816 1 357 2082 1454025 5 16x16/actions/edit-table-cell-merge.png
DUPTYPE_WITHIN_SAME_TREE -816 1 357 2082 1453944 5 16x16/actions/mergecell.png
DUPTYPE_FIRST_OCCURRENCE 896 1 359 2082 1454485 5 16x16/actions/go-next.png
DUPTYPE_WITHIN_SAME_TREE -896 2 359 2082 1457638 5 16x16/actions/symbolic/go-next-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 763 1 361 2082 1454088 5 16x16/actions/dialog-ok-apply.png
DUPTYPE_WITHIN_SAME_TREE -763 1 361 2082 1454286 5 16x16/actions/dialog-ok.png
DUPTYPE_WITHIN_SAME_TREE -763 2 361 2082 1457530 5 16x16/actions/symbolic/object-select-symbolic.png
DUPTYPE_WITHIN_SAME_TREE -763 1 361 2082 1454049 5 16x16/actions/kt-check-data.png
DUPTYPE_WITHIN_SAME_TREE -763 1 361 2082 1454450 5 16x16/actions/object-select.png
DUPTYPE_FIRST_OCCURRENCE 908 1 363 2082 1453930 5 16x16/actions/hint.png
DUPTYPE_WITHIN_SAME_TREE -908 1 363 2082 1454352 5 16x16/actions/view-hidden.png
DUPTYPE_WITHIN_SAME_TREE -908 2 363 2082 1457597 5 16x16/actions/symbolic/view-conceal-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 899 1 368 2082 1453913 5 16x16/actions/go-up.png
DUPTYPE_WITHIN_SAME_TREE -899 1 368 2082 1454483 5 16x16/actions/kdenlive-up.png
DUPTYPE_WITHIN_SAME_TREE -899 2 368 2082 1457595 5 16x16/actions/symbolic/go-up-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 916 1 369 2082 1453977 5 16x16/actions/insert-image.png
DUPTYPE_WITHIN_SAME_TREE -916 2 369 2082 1457648 5 16x16/actions/symbolic/insert-image-symbolic.png
DUPTYPE_WITHIN_SAME_TREE -916 1 369 2082 1454022 5 16x16/actions/upload-media.png
DUPTYPE_FIRST_OCCURRENCE 2171 1 369 2082 1456757 6 22x22/actions/document-multiple.png
DUPTYPE_WITHIN_SAME_TREE -2171 2 369 2082 1457840 6 22x22/emblems/symbolic/emblem-documents-symbolic.png
DUPTYPE_WITHIN_SAME_TREE -2171 1 369 2082 1455885 6 22x22/emblems/emblem-documents.png
DUPTYPE_WITHIN_SAME_TREE -2171 1 369 2082 1456093 6 22x22/apps/documents.png
DUPTYPE_WITHIN_SAME_TREE -2171 1 369 2082 1456597 6 22x22/places/document-multiple.png
DUPTYPE_FIRST_OCCURRENCE 1222 1 372 2082 1454275 5 16x16/actions/window-keep-above.png
DUPTYPE_WITHIN_SAME_TREE -1222 2 372 2082 1457623 5 16x16/actions/symbolic/window-keep-above-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 2208 1 372 2082 1456555 6 22x22/actions/edit-select-all.png
DUPTYPE_WITHIN_SAME_TREE -2208 2 372 2082 1458030 6 22x22/actions/symbolic/edit-select-all-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 897 1 374 2082 1454116 5 16x16/actions/go-previous.png
DUPTYPE_WITHIN_SAME_TREE -897 2 374 2082 1457540 5 16x16/actions/symbolic/go-previous-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 1843 1 374 2082 1454329 5 16x16/status/dialog-password.png
DUPTYPE_WITHIN_SAME_TREE -1843 1 374 2082 1454306 5 16x16/status/security-high.png
DUPTYPE_WITHIN_SAME_TREE -1843 2 374 2082 1457514 5 16x16/status/symbolic/security-high-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 889 1 376 2082 1454133 5 16x16/actions/go-down.png
DUPTYPE_WITHIN_SAME_TREE -889 2 376 2082 1457629 5 16x16/actions/symbolic/go-down-symbolic.png
DUPTYPE_WITHIN_SAME_TREE -889 1 376 2082 1454006 5 16x16/actions/kdenlive-down.png
DUPTYPE_FIRST_OCCURRENCE 1553 1 376 2082 1453839 5 16x16/devices/input-keyboard.png
DUPTYPE_WITHIN_SAME_TREE -1553 1 376 2082 1453412 5 16x16/preferences/preferences-desktop-keyboard.png
DUPTYPE_WITHIN_SAME_TREE -1553 2 376 2082 1457500 5 16x16/devices/symbolic/input-keyboard-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 820 1 377 2082 1453969 5 16x16/actions/edit-table-insert-column-left.png
DUPTYPE_WITHIN_SAME_TREE -820 1 377 2082 1454276 5 16x16/actions/edit-table-insert-column-right.png
DUPTYPE_FIRST_OCCURRENCE 822 1 379 2082 1454445 5 16x16/actions/edit-table-insert-row-above.png
DUPTYPE_WITHIN_SAME_TREE -822 1 379 2082 1454460 5 16x16/actions/edit-table-insert-row-below.png
DUPTYPE_FIRST_OCCURRENCE 2166 1 380 2082 1456623 6 22x22/actions/document-duplicate.png
DUPTYPE_WITHIN_SAME_TREE -2166 1 380 2082 1456886 6 22x22/actions/edit-duplicate.png
DUPTYPE_WITHIN_SAME_TREE -2166 2 380 2082 1457950 6 22x22/actions/symbolic/edit-copy-symbolic.png
DUPTYPE_WITHIN_SAME_TREE -2166 1 380 2082 1456396 6 22x22/actions/edit-copy.png
DUPTYPE_WITHIN_SAME_TREE -2166 1 380 2082 1456770 6 22x22/actions/edit-move.png
DUPTYPE_WITHIN_SAME_TREE -2166 2 380 2082 1458006 6 22x22/actions/symbolic/edit-move-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 1096 1 383 2082 1453979 5 16x16/actions/straight-connector.png
DUPTYPE_OUTSIDE_TREE -1096 1 383 2082 1456994 7 24x24/actions/straight-connector.png
DUPTYPE_FIRST_OCCURRENCE 2213 1 384 2082 1456430 6 22x22/actions/edit-table-insert-column-left.png
DUPTYPE_WITHIN_SAME_TREE -2213 1 384 2082 1456774 6 22x22/actions/edit-table-insert-column-right.png
DUPTYPE_FIRST_OCCURRENCE 760 1 392 2082 1454343 5 16x16/actions/dialog-filters.png
DUPTYPE_WITHIN_SAME_TREE -760 2 392 2082 1457639 5 16x16/actions/symbolic/filter-symbolic.png
DUPTYPE_WITHIN_SAME_TREE -760 1 392 2082 1453951 5 16x16/actions/view-filter.png
DUPTYPE_WITHIN_SAME_TREE -760 1 392 2082 1453983 5 16x16/actions/gnumeric-autofilter.png
DUPTYPE_FIRST_OCCURRENCE 1007 1 394 2082 1454298 5 16x16/actions/media-seek-forward.png
DUPTYPE_WITHIN_SAME_TREE -1007 2 394 2082 1457655 5 16x16/actions/symbolic/media-seek-forward-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 1740 1 394 2082 1453874 5 16x16/places/mail-folder-inbox.png
DUPTYPE_WITHIN_SAME_TREE -1740 2 394 2082 1457653 5 16x16/actions/symbolic/mail-inbox-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 1868 1 397 2082 1454312 5 16x16/status/user-offline.png
DUPTYPE_WITHIN_SAME_TREE -1868 2 397 2082 1457526 5 16x16/status/symbolic/user-offline-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 1223 1 400 2082 1454140 5 16x16/actions/window-keep-below.png
DUPTYPE_WITHIN_SAME_TREE -1223 2 400 2082 1457590 5 16x16/actions/symbolic/window-keep-below-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 4047 1 402 2082 1452393 9 32x32/apps/office-calendar.png
DUPTYPE_WITHIN_SAME_TREE -4047 1 402 2082 1452281 9 32x32/preferences/financial-schedule.png
DUPTYPE_WITHIN_SAME_TREE -4047 1 402 2082 1452476 9 32x32/apps/plan.png
DUPTYPE_FIRST_OCCURRENCE 2215 1 402 2082 1456944 6 22x22/actions/edit-table-insert-row-above.png
DUPTYPE_WITHIN_SAME_TREE -2215 1 402 2082 1456958 6 22x22/actions/edit-table-insert-row-below.png
DUPTYPE_FIRST_OCCURRENCE 891 1 405 2082 1454454 5 16x16/actions/go-home.png
DUPTYPE_WITHIN_SAME_TREE -891 2 405 2082 1457646 5 16x16/actions/symbolic/go-home-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 1006 1 406 2082 1453952 5 16x16/actions/media-seek-backward.png
DUPTYPE_WITHIN_SAME_TREE -1006 2 406 2082 1457547 5 16x16/actions/symbolic/media-seek-backward-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 894 1 410 2082 1454265 5 16x16/actions/go-jump.png
DUPTYPE_WITHIN_SAME_TREE -894 2 410 2082 1457622 5 16x16/actions/symbolic/go-jump-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 888 1 413 2082 1454180 5 16x16/actions/go-bottom.png
DUPTYPE_WITHIN_SAME_TREE -888 2 413 2082 1457637 5 16x16/actions/symbolic/go-bottom-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 834 1 414 2082 1454261 5 16x16/actions/favorite-genres-amarok.png
DUPTYPE_WITHIN_SAME_TREE -834 1 414 2082 1454113 5 16x16/actions/filename-genre-amarok.png
DUPTYPE_FIRST_OCCURRENCE 849 1 420 2082 1453975 5 16x16/actions/folder-new.png
DUPTYPE_WITHIN_SAME_TREE -849 2 420 2082 1457568 5 16x16/actions/symbolic/folder-new-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 895 1 421 2082 1453941 5 16x16/actions/go-last.png
DUPTYPE_WITHIN_SAME_TREE -895 2 421 2082 1457607 5 16x16/actions/symbolic/go-last-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 1221 1 421 2082 1453938 5 16x16/actions/window-duplicate.png
DUPTYPE_WITHIN_SAME_TREE -1221 1 421 2082 1453350 5 16x16/preferences/window-duplicate.png
DUPTYPE_FIRST_OCCURRENCE 2250 1 423 2082 1456449 6 22x22/actions/format-justify-right.png
DUPTYPE_WITHIN_SAME_TREE -2250 2 423 2082 1458008 6 22x22/actions/symbolic/format-justify-right-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 2249 1 424 2082 1456778 6 22x22/actions/format-justify-left.png
DUPTYPE_WITHIN_SAME_TREE -2249 2 424 2082 1458038 6 22x22/actions/symbolic/format-text-direction-ltr-symbolic.png
DUPTYPE_WITHIN_SAME_TREE -2249 2 424 2082 1457976 6 22x22/actions/symbolic/format-justify-left-symbolic.png
DUPTYPE_WITHIN_SAME_TREE -2249 1 424 2082 1456653 6 22x22/actions/format-text-direction-ltr.png
DUPTYPE_FIRST_OCCURRENCE 890 1 424 2082 1454005 5 16x16/actions/go-first.png
DUPTYPE_WITHIN_SAME_TREE -890 2 424 2082 1457569 5 16x16/actions/symbolic/go-first-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 2255 1 427 2082 1456915 6 22x22/actions/format-text-direction-rtl.png
DUPTYPE_WITHIN_SAME_TREE -2255 2 427 2082 1457951 6 22x22/actions/symbolic/format-text-direction-rtl-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 898 1 428 2082 1454203 5 16x16/actions/go-top.png
DUPTYPE_WITHIN_SAME_TREE -898 2 428 2082 1457652 5 16x16/actions/symbolic/go-top-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 985 1 432 2082 1454426 5 16x16/actions/media-album-cover.png
DUPTYPE_WITHIN_SAME_TREE -985 2 432 2082 1457506 5 16x16/devices/symbolic/media-optical-symbolic.png
